Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
0.170880,0.795703,1.000000,1.000000
0.166678,0.792996,1.000000,1.000000
0.166678,0.795703,1.000000,1.000000
0.168079,0.801116,1.000000,1.000000
0.168079,0.795703,1.000000,1.000000
0.169480,0.795703,1.000000,1.000000
0.170880,0.794349,1.000000,1.000000
0.168079,0.801116,1.000000,1.000000
0.169480,0.795703,1.000000,1.000000
0.172281,0.798409,1.000000,1.000000
0.169480,0.799762,1.000000,1.000000
0.168079,0.797056,1.000000,1.000000
0.169480,0.805175,1.000000,1.000000
0.168079,0.798409,1.000000,1.000000
0.169480,0.798409,1.000000,1.000000
0.169480,0.797056,1.000000,1.000000
0.176483,0.795703,1.000000,1.000000
0.169480,0.799762,1.000000,1.000000
0.165278,0.797056,1.000000,1.000000
0.169480,0.799762,1.000000,1.000000
0.163877,0.797056,1.000000,1.000000
0.170880,0.799762,1.000000,1.000000
0.169480,0.803822,1.000000,1.000000
0.165278,0.801116,1.000000,1.000000
0.165278,0.799762,1.000000,1.000000
0.166678,0.801116,1.000000,1.000000
0.169480,0.798409,1.000000,1.000000
0.169480,0.801116,1.000000,1.000000
0.169480,0.797056,1.000000,1.000000
0.168079,0.802469,1.000000,1.000000
0.168079,0.802469,1.000000,1.000000
0.170880,0.801116,1.000000,1.000000
0.176483,0.806529,1.000000,1.000000
0.168079,0.803822,1.000000,1.000000
0.169480,0.802469,1.000000,1.000000
0.168079,0.802469,1.000000,1.000000
0.169480,0.802469,1.000000,1.000000
0.168079,0.797056,1.000000,1.000000
0.170880,0.806529,1.000000,1.000000
0.166678,0.799762,1.000000,1.000000
0.168079,0.805175,1.000000,1.000000
0.169480,0.802469,1.000000,1.000000
0.169480,0.803822,1.000000,1.000000
0.169480,0.803822,1.000000,1.000000
0.166678,0.806529,1.000000,1.000000
0.169480,0.801116,1.000000,1.000000
0.166678,0.806529,1.000000,1.000000
0.166678,0.799762,1.000000,1.000000
0.170880,0.805175,1.000000,1.000000
0.169480,0.805175,1.000000,1.000000
0.168079,0.805175,1.000000,1.000000
0.170880,0.803822,1.000000,1.000000
0.172281,0.805175,1.000000,1.000000
0.179284,0.801116,1.000000,1.000000
0.170880,0.803822,1.000000,1.000000
0.170880,0.807882,1.000000,1.000000
0.170880,0.803822,1.000000,1.000000
0.168079,0.805175,1.000000,1.000000
0.169480,0.805175,1.000000,1.000000
0.169480,0.803822,1.000000,1.000000
0.166678,0.806529,1.000000,1.000000
0.168079,0.805175,1.000000,1.000000
0.169480,0.806529,1.000000,1.000000
0.165278,0.805175,1.000000,1.000000
0.169480,0.806529,1.000000,1.000000
0.168079,0.806529,1.000000,0.999991
0.168079,0.807882,1.000000,0.999991
0.170880,0.809235,1.000000,0.999991
0.168079,0.806529,1.000000,0.999991
0.168079,0.802469,1.000000,0.999991
0.170880,0.803822,1.000000,0.999991
0.172281,0.807882,1.000000,0.999991
0.170880,0.807882,1.000000,0.999991
0.170880,0.805175,1.000000,0.999991
0.159675,0.810588,1.000000,0.999991
0.169480,0.807882,1.000000,0.999991
0.169480,0.809235,1.000000,0.999991
0.168079,0.814648,1.000000,0.999991
0.168079,0.807882,1.000000,0.999991
0.165278,0.809235,1.000000,0.999991
0.169480,0.806529,1.000000,0.999991
0.172281,0.795703,1.000000,0.999991
0.169480,0.806529,1.000000,0.999991
0.169480,0.803822,1.000000,0.999991
0.170880,0.807882,1.000000,0.999991
0.172281,0.810588,1.000000,0.999991
0.169480,0.807882,1.000000,0.999991
0.169480,0.810588,1.000000,0.999991
0.168079,0.801116,1.000000,0.999991
0.170880,0.811942,1.000000,0.999991
0.168079,0.807882,1.000000,0.999991
0.168079,0.810588,1.000000,0.999991
0.170880,0.807882,1.000000,0.999991
0.170880,0.817355,1.000000,0.999991
