GammDynamic,GammaStatic,trialLength,reps
9
0,50,10,2
50,50,10,2
100,50,10,2
150,50,10,2
200,50,10,2
250,50,10,2
300,50,10,2
350,50,10,2
400,50,10,2
0,100,10,2
50,100,10,2
100,100,10,2
150,100,10,2
200,100,10,2
250,100,10,2
300,100,10,2
350,100,10,2
400,100,10,2
0,150,10,2
50,150,10,2
100,150,10,2
150,150,10,2
200,150,10,2
250,150,10,2
300,150,10,2
350,150,10,2
400,150,10,2
0,200,10,2
50,200,10,2
100,200,10,2
150,200,10,2
200,200,10,2
250,200,10,2
300,200,10,2
350,200,10,2
400,200,10,2
0,250,10,2
50,250,10,2
100,250,10,2
150,250,10,2
200,250,10,2
250,250,10,2
300,250,10,2
350,250,10,2
400,250,10,2
0,300,10,2
50,300,10,2
100,300,10,2
150,300,10,2
200,300,10,2
250,300,10,2
300,300,10,2
350,300,10,2
400,300,10,2
0,350,10,2
50,350,10,2
100,350,10,2
150,350,10,2
200,350,10,2
250,350,10,2
300,350,10,2
350,350,10,2
400,350,10,2
0,400,10,2
50,400,10,2
100,400,10,2
150,400,10,2
200,400,10,2
250,400,10,2
300,400,10,2
350,400,10,2
400,400,10,2
