GammDynamic,GammaStatic,trialLength,reps
9
0,200,5,2
50,200,5,2
100,200,5,2
150,200,5,2
200,200,5,2
250,200,5,2
300,200,5,2
350,200,5,2
400,200,5,2
0,250,10,2
50,250,10,2
100,250,10,2
150,250,10,2
200,250,10,2
250,250,10,2
300,250,10,2
350,250,10,2
400,250,10,2
0,300,10,2
50,300,10,2
100,300,10,2
150,300,10,2
200,300,10,2
250,300,10,2
300,300,10,2
350,300,10,2
400,300,10,2
0,350,10,2
50,350,10,2
100,350,10,2
150,350,10,2
200,350,10,2
250,350,10,2
300,350,10,2
350,350,10,2
400,350,10,2
0,400,10,2
50,400,10,2
100,400,10,2
150,400,10,2
200,400,10,2
250,400,10,2
300,400,10,2
350,400,10,2
400,400,10,2
