GammDynamic1,GammaStatic1,GammDynamic2,GammaStatic2,CortexDrive1,CortexDrive2,initPos,finalPos,velocity,trialLength,reps
4
40,120,40,120,0,0,-78,-72,10,3,2
40,120,40,120,0,0,-28,-22,10,3,2
40,120,40,120,0,0,22,28,10,3,2
40,120,40,120,0,0,72,78,10,3,2
40,120,40,120,0,0,-78,-72,50,3,2
40,120,40,120,0,0,-28,-22,50,3,2
40,120,40,120,0,0,22,28,50,3,2
40,120,40,120,0,0,72,78,50,3,2
40,120,40,120,0,0,-78,-72,90,3,2
40,120,40,120,0,0,-28,-22,90,3,2
40,120,40,120,0,0,22,28,90,3,2
40,120,40,120,0,0,72,78,90,3,2
40,120,40,120,0,0,-78,-72,130,3,2
40,120,40,120,0,0,-28,-22,130,3,2
40,120,40,120,0,0,22,28,130,3,2
40,120,40,120,0,0,72,78,130,3,2
40,120,40,120,0,0,-78,-72,170,3,2
40,120,40,120,0,0,-28,-22,170,3,2
40,120,40,120,0,0,22,28,170,3,2
40,120,40,120,0,0,72,78,170,3,2
40,120,40,120,0,0,-78,-72,210,3,2
40,120,40,120,0,0,-28,-22,210,3,2
40,120,40,120,0,0,22,28,210,3,2
40,120,40,120,0,0,72,78,210,3,2
40,120,40,120,0,0,-78,-72,250,3,2
40,120,40,120,0,0,-28,-22,250,3,2
40,120,40,120,0,0,22,28,250,3,2
40,120,40,120,0,0,72,78,250,3,2
40,120,40,120,0,0,-78,-72,290,3,2
40,120,40,120,0,0,-28,-22,290,3,2
40,120,40,120,0,0,22,28,290,3,2
40,120,40,120,0,0,72,78,290,3,2
40,120,40,120,900,900,-78,-72,10,3,2
40,120,40,120,900,900,-28,-22,10,3,2
40,120,40,120,900,900,22,28,10,3,2
40,120,40,120,900,900,72,78,10,3,2
40,120,40,120,900,900,-78,-72,50,3,2
40,120,40,120,900,900,-28,-22,50,3,2
40,120,40,120,900,900,22,28,50,3,2
40,120,40,120,900,900,72,78,50,3,2
40,120,40,120,900,900,-78,-72,90,3,2
40,120,40,120,900,900,-28,-22,90,3,2
40,120,40,120,900,900,22,28,90,3,2
40,120,40,120,900,900,72,78,90,3,2
40,120,40,120,900,900,-78,-72,130,3,2
40,120,40,120,900,900,-28,-22,130,3,2
40,120,40,120,900,900,22,28,130,3,2
40,120,40,120,900,900,72,78,130,3,2
40,120,40,120,900,900,-78,-72,170,3,2
40,120,40,120,900,900,-28,-22,170,3,2
40,120,40,120,900,900,22,28,170,3,2
40,120,40,120,900,900,72,78,170,3,2
40,120,40,120,900,900,-78,-72,210,3,2
40,120,40,120,900,900,-28,-22,210,3,2
40,120,40,120,900,900,22,28,210,3,2
40,120,40,120,900,900,72,78,210,3,2
40,120,40,120,900,900,-78,-72,250,3,2
40,120,40,120,900,900,-28,-22,250,3,2
40,120,40,120,900,900,22,28,250,3,2
40,120,40,120,900,900,72,78,250,3,2
40,120,40,120,900,900,-78,-72,290,3,2
40,120,40,120,900,900,-28,-22,290,3,2
40,120,40,120,900,900,22,28,290,3,2
40,120,40,120,900,900,72,78,290,3,2
40,120,40,120,1250,1250,-78,-72,10,3,2
