GammDynamic1,GammaStatic1,GammDynamic2,GammaStatic2,initPos,finalPos,velocity,trialLength,reps
60
20,20,40,20,90,0,5,3,10
20,20,40,20,90,0,10,3,10
20,20,40,20,90,0,20,3,10
20,20,40,20,90,0,30,3,10
20,20,40,20,90,0,40,3,10
20,20,40,20,90,0,50,3,10

20,40,60,20,90,0,5,3,10
20,40,60,20,90,0,10,3,10
20,40,60,20,90,0,20,3,10
20,40,60,20,90,0,30,3,10
20,40,60,20,90,0,40,3,10
20,40,60,20,90,0,50,3,10

20,60,80,20,90,0,5,3,10
20,60,80,20,90,0,10,3,10
20,60,80,20,90,0,20,3,10
20,60,80,20,90,0,30,3,10
20,60,80,20,90,0,40,3,10
20,60,80,20,90,0,50,3,10

20,80,100,20,90,0,5,3,10
20,80,100,20,90,0,10,3,10
20,80,100,20,90,0,20,3,10
20,80,100,20,90,0,30,3,10
20,80,100,20,90,0,40,3,10
20,80,100,20,90,0,50,3,10

20,100,120,20,90,0,5,3,10
20,100,120,20,90,0,10,3,10
20,100,120,20,90,0,20,3,10
20,100,120,20,90,0,30,3,10
20,100,120,20,90,0,40,3,10
20,100,120,20,90,0,50,3,10

20,120,140,20,90,0,5,3,10
20,120,140,20,90,0,10,3,10
20,120,140,20,90,0,20,3,10
20,120,140,20,90,0,30,3,10
20,120,140,20,90,0,40,3,10
20,120,140,20,90,0,50,3,10

20,140,160,20,90,0,5,3,10
20,140,160,20,90,0,10,3,10
20,140,160,20,90,0,20,3,10
20,140,160,20,90,0,30,3,10
20,140,160,20,90,0,40,3,10
20,140,160,20,90,0,50,3,10

20,160,180,20,90,0,5,3,10
20,160,180,20,90,0,10,3,10
20,160,180,20,90,0,20,3,10
20,160,180,20,90,0,30,3,10
20,160,180,20,90,0,40,3,10
20,160,180,20,90,0,50,3,10

20,180,200,20,90,0,5,3,10
20,180,200,20,90,0,10,3,10
20,180,200,20,90,0,20,3,10
20,180,200,20,90,0,30,3,10
20,180,200,20,90,0,40,3,10
20,180,200,20,90,0,50,3,10

20,200,20,40,90,0,5,3,10
20,200,20,40,90,0,10,3,10
20,200,20,40,90,0,20,3,10
20,200,20,40,90,0,30,3,10
20,200,20,40,90,0,40,3,10
20,200,20,40,90,0,50,3,10



