FREQ,CortexA,GammaSA,GammaSP,GammaDA,GammaDP,reps
225
1,750,125,-0.785,75,-1.57,5
1,750,75,0.785,125,1.57,5
1,750,100,-1.57,100,1.57,5
1,750,75,-1.57,75,-0.785,5
1,750,125,-0.785,75,-0.785,5
1,750,75,-1.57,100,1.57,5
1,750,100,0.785,75,1.57,5
1,750,100,-0.785,100,-0.785,5
1,750,75,1.57,75,0.785,5
1,750,125,0,125,-1.57,5
1,750,125,0,125,-0.785,5
1,750,75,-1.57,100,-0.785,5
1,750,75,1.57,100,0,5
1,750,100,0,125,-0.785,5
1,750,125,0.785,125,-1.57,5
1,750,75,0.785,125,0,5
1,750,75,-0.785,100,0.785,5
1,750,100,1.57,75,-1.57,5
1,750,125,0.785,75,0,5
1,750,100,1.57,125,-0.785,5
1,750,75,0,75,0,5
1,750,125,1.57,100,-0.785,5
1,750,75,-1.57,100,0.785,5
1,750,125,1.57,125,0,5
1,750,100,0,75,0.785,5
1,750,75,-1.57,125,0,5
1,750,75,1.57,125,-0.785,5
1,750,125,0.785,125,0,5
1,750,125,-1.57,75,0,5
1,750,100,0,100,-0.785,5
1,750,100,-0.785,125,0.785,5
1,750,100,0,100,-1.57,5
1,750,100,-1.57,100,0,5
1,750,125,1.57,100,-1.57,5
1,750,75,0.785,100,1.57,5
1,750,75,0,100,0.785,5
1,750,125,-0.785,75,0,5
1,750,125,0.785,75,0.785,5
1,750,75,1.57,100,1.57,5
1,750,75,0.785,75,0.785,5
1,750,125,1.57,100,0.785,5
1,750,75,0.785,75,1.57,5
1,750,125,0.785,125,-0.785,5
1,750,100,-1.57,100,-0.785,5
1,750,75,0,75,-1.57,5
1,750,100,-1.57,100,-1.57,5
1,750,125,0.785,75,-1.57,5
1,750,125,0,125,1.57,5
1,750,125,1.57,75,0.785,5
1,750,100,0,75,1.57,5
1,750,125,0.785,75,-0.785,5
1,750,100,0.785,125,1.57,5
1,750,100,0,125,0.785,5
1,750,75,-1.57,125,1.57,5
1,750,75,1.57,125,0,5
1,750,75,0,125,-0.785,5
1,750,100,0.785,100,0.785,5
1,750,125,0.785,125,1.57,5
1,750,100,0.785,100,1.57,5
1,750,125,0,75,-0.785,5
1,750,125,-0.785,100,-1.57,5
1,750,100,1.57,100,-1.57,5
1,750,75,0,125,0.785,5
1,750,100,0.785,75,-0.785,5
1,750,75,0,100,-0.785,5
1,750,125,-0.785,125,-1.57,5
1,750,125,1.57,125,-1.57,5
1,750,75,1.57,100,-0.785,5
1,750,125,0,100,0,5
1,750,75,0,75,0.785,5
1,750,100,-1.57,75,0.785,5
1,750,100,-0.785,100,0,5
1,750,100,-0.785,75,0.785,5
1,750,100,1.57,125,0,5
1,750,75,0,125,0,5
1,750,125,-1.57,75,-1.57,5
1,750,75,-0.785,75,1.57,5
1,750,125,-0.785,125,0.785,5
1,750,125,1.57,125,1.57,5
1,750,125,0.785,75,1.57,5
1,750,75,1.57,100,-1.57,5
1,750,75,1.57,100,0.785,5
1,750,75,0.785,125,-0.785,5
1,750,100,-1.57,75,1.57,5
1,750,125,-0.785,100,0,5
1,750,75,-1.57,125,-0.785,5
1,750,125,1.57,100,0,5
1,750,100,0,75,-1.57,5
1,750,125,-1.57,75,1.57,5
1,750,75,-1.57,75,0.785,5
1,750,125,0,75,0.785,5
1,750,100,1.57,75,0.785,5
1,750,100,0.785,100,-1.57,5
1,750,75,-0.785,125,-0.785,5
1,750,125,-0.785,100,-0.785,5
1,750,125,1.57,75,1.57,5
1,750,100,1.57,100,0,5
1,750,125,0,75,1.57,5
1,750,75,-0.785,125,1.57,5
1,750,100,-0.785,125,1.57,5
1,750,75,-1.57,75,0,5
1,750,100,0,100,0.785,5
1,750,100,-0.785,75,1.57,5
1,750,100,1.57,125,0.785,5
1,750,100,-0.785,125,0,5
1,750,100,0,125,0,5
1,750,75,1.57,125,0.785,5
1,750,100,-1.57,125,-0.785,5
1,750,75,-0.785,100,-1.57,5
1,750,75,-0.785,125,0,5
1,750,125,1.57,100,1.57,5
1,750,100,-1.57,100,0.785,5
1,750,75,1.57,75,-0.785,5
1,750,75,-1.57,75,-1.57,5
1,750,125,0.785,100,0.785,5
1,750,100,-1.57,125,1.57,5
1,750,75,0,125,1.57,5
1,750,75,1.57,125,1.57,5
1,750,100,0,75,-0.785,5
1,750,100,1.57,75,-0.785,5
1,750,125,0,100,-0.785,5
1,750,125,-1.57,100,-0.785,5
1,750,100,0.785,75,0.785,5
1,750,125,1.57,75,-0.785,5
1,750,75,0.785,100,-0.785,5
1,750,100,-0.785,125,-1.57,5
1,750,75,0.785,100,-1.57,5
1,750,125,0.785,100,-0.785,5
1,750,100,1.57,125,1.57,5
1,750,100,0.785,100,-0.785,5
1,750,75,1.57,75,-1.57,5
1,750,125,-1.57,100,-1.57,5
1,750,125,-0.785,75,0.785,5
1,750,125,0,125,0.785,5
1,750,75,-1.57,125,-1.57,5
1,750,100,-1.57,125,0,5
1,750,100,0,75,0,5
1,750,125,-0.785,125,1.57,5
1,750,125,-1.57,100,1.57,5
1,750,100,0.785,125,0.785,5
1,750,75,-1.57,125,0.785,5
1,750,75,-0.785,125,-1.57,5
1,750,75,-1.57,100,0,5
1,750,100,-1.57,75,0,5
1,750,100,0,100,0,5
1,750,75,0.785,75,-1.57,5
1,750,75,-0.785,100,1.57,5
1,750,100,-0.785,125,-0.785,5
1,750,100,-0.785,75,-1.57,5
1,750,75,0,100,0,5
1,750,100,0.785,125,0,5
1,750,125,-0.785,125,0,5
1,750,100,1.57,125,-1.57,5
1,750,125,-1.57,100,0.785,5
1,750,125,1.57,125,0.785,5
1,750,75,1.57,75,1.57,5
1,750,125,0,100,0.785,5
1,750,125,0,75,0,5
1,750,125,-1.57,100,0,5
1,750,125,0,75,-1.57,5
1,750,75,0.785,125,-1.57,5
1,750,100,0.785,75,-1.57,5
1,750,100,-1.57,75,-0.785,5
1,750,125,1.57,125,-0.785,5
1,750,75,-1.57,75,1.57,5
1,750,125,0.785,100,1.57,5
1,750,75,0.785,100,0,5
1,750,100,0.785,100,0,5
1,750,100,-1.57,125,-1.57,5
1,750,75,-0.785,75,-0.785,5
1,750,100,-0.785,100,-1.57,5
1,750,100,0,125,1.57,5
